최저가,품목,밴드형태,네트워크,화면크기,해상도,화면종류,화면,블루투스버전,내장OS,호환가능OS,--,--,램,내장메모리,--,항목,--,--,건강관리,--,--,부가기능,방수기능,--,사용시간,--,--,배터리종류,배터리용량,재질,무게,--,--,--,--,--,--,--,--
26030,스마트워치,"1.3""",240x240,LCD,블루투스4.2,"iOS8.0이상, 안드로이드4.4이상","SNS, 전화",,,"호흡가이드, 이동거리측정, 달리기, 사이클링, 트랙킹, 심박측정, 칼로리측정, 수면패턴분석, 만보계, 스트레칭알림",,,"내휴대폰찾기, 화면테마설정, 알람설정",생활방수(IP68),,최대13일,,,배터리일체형,210mAh,34g,,,,,,,,,,,,,,,,,,
169200,스마트워치,밴드교체형,무선랜(WiFi),"1.1""",360x360,슈퍼AM-OLED,터치스크린,블루투스4.2,타이젠,"안드로이드5.0, iOS9.0이상",,,"1.15GHz, 듀얼코어",768M,4G내장,"문자, 전화",,,"스트레스모니터링, 호흡가이드, 달리기, 수영모니터링, 심박측정, 칼로리측정, 수면패턴분석, 만보계",,,"무선배터리공유(S10시리즈), 심박센서, GPS, NFC(원터치페어링)","생활방수(IP68), 방수(5ATM)",,배터리일체형,230mAh,"실버, 그린, 블랙, 로즈골드",25g,,,,,,,,,,,
126449,스마트워치,"1.39""",454x454,AM-OLED,블루투스5.0,,"일정, 알람, 문자, 전화",,,"달리기, 사이클링, 수영모니터링, 트랙킹, 심박측정, 칼로리측정, 운동정보기록, 스트레칭알림",,,"GPS, 내휴대폰찾기, 날씨, 스톱워치, 가속계센서, NFC, 나침반센서, 기압센서",방수(5ATM),,24일,,,배터리일체형,410mAh,36g,,,,,,,,,,,,,,,,,,
236580,스마트워치,무선랜(WiFi),"1.2""",360x360,슈퍼AM-OLED,터치스크린,블루투스5.0,타이젠,"안드로이드5.0, iOS5.0이상",768M,4G내장,,"SNS, 문자, 전화",,,"스트레스모니터링, 달리기, 사이클링, 수영모니터링, 심박측정, 칼로리측정, 운동정보기록, 수면패턴분석, 만보계",,,"다중언어, GPS, 원격촬영, 음성명령, 화면테마설정, NFC",,,"평균 43시간,최대 95시간",,,배터리일체형,247mAh,스테인리스스틸,37g,,,,,,,,,,,
127890,스마트워치,"1.3""",360x360,AM-OLED,터치스크린,블루투스5.0,"SNS, 문자, 전화",,,"이동거리측정, 달리기, 사이클링, 수영모니터링, 트랙킹, 심박측정, 운동정보기록, 스키",,,"주변광센서, GPS, 날씨, 항상화면켜짐, 화면테마설정, 가속계센서",방수(5ATM),,20일,66일,,배터리일체형,390mAh,58g,,,,,,,,,,,,,,,,,,
511400,스마트워치,밴드교체형,무선랜(WiFi),324x394,OLED,블루투스5.0,32G내장,,,"여성 건강 모니터링, 이동거리측정, 심박측정, 운동정보기록",,,"넘어짐 감지, 주변광센서, GPS, SOS안심서비스, 항상화면켜짐, 화면테마설정, 앱설치, 자이로센서, 가속계센서, 나침반센서, 기압센서, 음악 스트리밍",생활방수(최대50m),,최대18시간,,,배터리일체형,,,,,,,,,,,,,,,,,,,,
122770,스마트워치,"1.2""",390x390,"일정, 알람, 문자, 전화",,,심박측정,,,"날씨, NFC, 나침반센서",방수(5ATM),,배터리일체형,195mAh,,,,,,,,,,,,,,,,,,,,,,,,,
350890,스마트워치,밴드교체형,"1.97""",블루투스,,,"일일활동량측정, 달리기, 사이클링, 칼로리측정, 만보계",,,"GPS, 스톱워치, 배터리확인, 온도확인, 고도센서, 나침반센서, 기압센서, 알람설정",방수(최대100m),,75g,,,,,,,,,,,,,,,,,,,,,,,,,,
80320,스마트워치,176x176,블루투스5.0,"문자, 전화",,,"달리기, 사이클링, 수영모니터링, 심박측정",,,"심박센서, GPS, 날씨",음악플레이어,방수(5ATM),40일,,,200mAh,31g,,,,,,,,,,,,,,,,,,,,,,
190000,스마트워치,"1.39""",454x454,AM-OLED,블루투스5.0,,"일정, 알람, 문자, 전화",,,"달리기, 사이클링, 수영모니터링, 트랙킹, 심박측정, 칼로리측정, 운동정보기록, 스트레칭알림",,,"GPS, 내휴대폰찾기, 날씨, 스톱워치, 가속계센서, NFC, 나침반센서, 기압센서",방수(5ATM),,24일,,,배터리일체형,410mAh,40g,,,,,,,,,,,,,,,,,,
139940,스마트워치,밴드교체형,무선랜(WiFi),"1.3""",360x360,블루투스4.2,타이젠,"안드로이드4.4이상, iOS9.0이상",,"1GHz, 듀얼코어",768M,4G내장,"SNS, e메일, 문자, 전화",,,"일일활동량측정, 심박측정, 칼로리측정, 운동정보기록, 수면패턴분석, 만보계",,,"심박센서, GPS, 항상화면켜짐, 자이로센서, 무선충전, 고도센서, 원형휠UX, 기압센서, 삼성페이(MST,NFC), 속도계",생활방수(IP68),,배터리,380mAh,62g(밴드 제외),실리콘밴드(22mm 표준밴드호환),,,,,,,,,,,,,,
126449,스마트워치,밴드교체형,LTE,"1.6""",IPS,블루투스,MTK6739,800만화소,,"이동거리측정, 달리기, 사이클링, 심박측정, 만보계",,,"날짜,요일표시, 내휴대폰찾기, 원격촬영, 화면테마설정, 음악 스트리밍",생활방수(IP67),,3~5일,,,1260mAh,,,,,,,,,,,,,,,,,,,,
49210,스마트워치,"1.65""",AM-OLED,블루투스4.0,"안드로이드4.4이상, iOS9.0이상",,"알람, 문자, 전화",,,"혈압측정, 혈중산소농도, 달리기, 사이클링, 수영모니터링, 심박측정, 수면패턴분석, 만보계, 스트레칭알림",,,"타이머, GPS, 원격촬영, 날씨",생활방수(IP68),,7일,,,알루미늄,"실버+화이트, 블랙, 골드+핑크",24.9g,,,,,,,,,,,,,,,,,,
47370,스마트워치,"1.28""",AOD,터치스크린,블루투스4.1BLE,,"SNS, e메일, 전화",,,"이동거리측정, 달리기, 심박측정, 운동정보기록, 수면패턴분석, 만보계, 스트레칭알림",,,방수(3ATM),,,200mAh,,,,,,,,,,,,,,,,,,,,,,,
185070,스마트워치,,,"문자, 전화",,,"스트레스모니터링, VO2 MAX, 달리기, 사이클링, 심박측정, 칼로리측정, 수면패턴분석",,,"타이머, GPS, 알람설정",,,최대7일,,,36g,,,,,,,,,,,,,,,,,,,,,,,
288900,스마트워치,밴드교체형,무선랜(WiFi),블루투스4.2,iOS,,16G내장,,,"e메일, 문자, 전화",,,"호흡가이드, 일일활동량측정, 이동거리측정, 수영모니터링, 심박측정, 운동정보기록, 운동코칭, 만보계",,,"심박센서, GPS, 음성명령(Siri), 자이로센서, 가속계센서, 기압센서, 음악 스트리밍",방수(최대50m),,18시간,,,배터리일체형,알루미늄,,,,,,,,,,,,,,,,
629000,스마트워치,"1.3""",블루투스,"e메일, 문자, 전화",,,"스트레스모니터링, 혈중산소농도, 심박측정, 수면패턴분석, 골프",,,"GPS, 스마트 캐디앱",방수(5ATM),,최대14일,,,,,,,,,,,,,,,,,,,,,,,,,,
193870,스마트워치,"1.39""",454x454,AM-OLED,터치스크린,블루투스5.1,"안드로이드4.4이상, iOS9.0이상",,,4G내장,,,"SNS, 문자, 전화",,,"이동거리측정, 달리기, 수영모니터링, 심박측정, 칼로리측정, 운동정보기록, 수면패턴분석, 만보계",,,"GPS, 자이로센서, 가속계센서, 나침반센서, 기압센서, 알람설정",음악플레이어,방수(5ATM),14일,,,배터리일체형,455mAh,41g,,,,,,,,,,,,
298000,스마트워치,터치스크린,블루투스4.0BLE,"아이폰4s이상, 안드로이드4.3이상",,,"스트레스모니터링, 체력연령측정, VO2 MAX, 이동거리측정, 사이클링, 수영모니터링, 심박측정, 수면패턴분석, 만보계",,,심박센서,생활방수,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199300,스마트워치,밴드교체형,LTE,무선랜(WiFi),"1.3""",360x360,슈퍼AM-OLED,터치스크린,블루투스4.2,타이젠,,,"1.15GHz, 듀얼코어",1.5G,4G내장,"스트레스모니터링, 호흡가이드, 달리기, 수영모니터링, 심박측정, 운동정보기록, 수면패턴분석",,,"심박센서, GPS, 날씨, 일정관리, 자이로센서, NFC, 고도센서, 기압센서, 속도계","생활방수(IP68), 방수(5ATM)",,"평균 80시간,최대 168시간",16시간,,배터리일체형,472mAh,실버,63g,,,,,,,,,,,
399300,스마트워치,밴드교체형,무선랜(WiFi),"1.3""",360x360,슈퍼AM-OLED,터치스크린,블루투스4.2,타이젠,"1.15GHz, 듀얼코어",768M,4G내장,"스트레스모니터링, 호흡가이드, 달리기, 수영모니터링, 심박측정, 운동정보기록, 수면패턴분석",,,"심박센서, GPS, 날씨, 일정관리, 자이로센서, NFC, 고도센서, 기압센서, 속도계, 스마트 캐디앱, 그린맵, 코스뷰, 스코어카드, 홀 자동 인식","생활방수(IP68), 방수(5ATM)",,"평균 80시간,최대 168시간",16시간,,배터리일체형,472mAh,실버,63g,,,,,,,,,,,,,,
341800,스마트워치,LTE,"1.4""",360x360,슈퍼AM-OLED,터치스크린,블루투스5.0,타이젠,"안드로이드5.0, iOS5.0이상",1.5G,4G내장,,"스트레스모니터링, 달리기, 사이클링, 수영모니터링, 수면패턴분석",,,"원격촬영, 음성명령",,,배터리일체형,340mAh,스테인리스스틸,42g,,,,,,,,,,,,,,,,,
528990,스마트워치,밴드교체형,무선랜(WiFi),368x448,OLED,터치스크린,블루투스5.0,,,32G내장,,,"여성 건강 모니터링, 이동거리측정, 심박측정, 운동정보기록",,,"넘어짐 감지, 주변광센서, GPS, SOS안심서비스, 항상화면켜짐, 화면테마설정, 앱설치, 자이로센서, 가속계센서, 나침반센서, 기압센서, 음악 스트리밍",생활방수(최대50m),,최대18시간,,,배터리일체형,,,,,,,,,,,,,,,,,
289380,스마트워치,밴드교체형,무선랜(WiFi),전화통화,블루투스,iOS,듀얼코어,8G내장,,"일정, 문자, 전화",,,"스트레스모니터링, 일일활동량측정, 이동거리측정, 달리기, 심박측정, 칼로리측정, 운동정보기록, 운동코칭",,,"심박센서, GPS, SOS안심서비스, 고도센서, 기압센서",생활방수,,18시간,,,배터리일체형,,,,,,,,,,,,,,,,,
359700,스마트워치,LTE,"1.2""",360x360,슈퍼AM-OLED,터치스크린,블루투스5.0,타이젠,"안드로이드5.0, iOS5.0이상",1.5G,4G내장,,"스트레스모니터링, 달리기, 사이클링, 수영모니터링, 수면패턴분석",,,"원격촬영, 음성명령, 화면테마설정",,,배터리일체형,247mAh,알루미늄,37g,,,,,,,,,,,,,,,,,
157360,스마트워치,터치스크린,블루투스4.1,"문자, 전화",,,"칼로리측정, 만보계",,,알람설정,음악플레이어,생활방수(IP67),,,,,,,,,,,,,,,,,,,,,,,,,,,
623020,스마트워치,밴드교체형,LTE,무선랜(WiFi),368x448,OLED,터치스크린,블루투스5.0,,듀얼코어,16G내장,,"호흡가이드, 운동동작인식, 이동거리측정, 심박측정, 칼로리측정, 만보계",,,"기온, 넘어짐 감지, 심박센서, 주변광센서, GPS, 자이로센서, 가속계센서, 고도센서, 기압센서",음악플레이어,방수(최대50m),18시간,,,,,,,,,,,,,,,,,,,,
256050,스마트워치,밴드교체형,무선랜(WiFi),전화통화,블루투스,iOS,듀얼코어,8G내장,,"일정, 문자, 전화",,,"스트레스모니터링, 일일활동량측정, 이동거리측정, 달리기, 심박측정, 칼로리측정, 운동정보기록, 운동코칭",,,"심박센서, GPS, SOS안심서비스, 고도센서, 기압센서",방수(최대50m),,18시간,,,배터리일체형,,,,,,,,,,,,,,,,,
141990,스마트워치,밴드교체형,무선랜(WiFi),"1.3""",360x360,블루투스4.2,타이젠,"안드로이드4.4이상, iOS9.0이상",,"1GHz, 듀얼코어",768M,4G내장,"SNS, e메일, 문자, 전화",,,"일일활동량측정, 심박측정, 칼로리측정, 운동정보기록, 수면패턴분석, 만보계",,,"심박센서, GPS, 항상화면켜짐, 자이로센서, 무선충전, 고도센서, 원형휠UX, 기압센서, 삼성페이(MST,NFC), 속도계",생활방수(IP68),,배터리,380mAh,57g(밴드 제외),가죽밴드(22mm 표준밴드호환),,,,,,,,,,,,,,
151670,스마트워치,밴드교체형,무선랜(WiFi),"1.2""",360x360,슈퍼AM-OLED,터치스크린,블루투스4.2,타이젠,"1.15GHz, 듀얼코어",768M,4G내장,"스트레스모니터링, 호흡가이드, 달리기, 수영모니터링, 심박측정, 운동정보기록, 수면패턴분석",,,"심박센서, GPS, 날씨, 일정관리, 자이로센서, NFC, 고도센서, 기압센서, 속도계","생활방수(IP68), 방수(5ATM)",,"평균 45시간,최대 120시간",9시간,,배터리일체형,270mAh,"미드나잇블랙, 로즈골드",49g,,,,,,,,,,,,,,
198990,스마트워치,터치스크린,블루투스,"스트레스모니터링, VO2 MAX, 일일활동량측정, 이동거리측정, 달리기, 수영모니터링, 심박측정, 운동코칭, 수면패턴분석, 만보계, 스키, 골프",,,"심박센서, GPS, 내휴대폰찾기",생활방수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157360,스마트워치,밴드교체형,무선랜(WiFi),심박측정,,,"GPS, 스톱워치, 알람설정",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540990,스마트워치,밴드교체형,무선랜(WiFi),368x448,OLED,터치스크린,블루투스5.0,,,32G내장,,,"여성 건강 모니터링, 이동거리측정, 심박측정, 운동정보기록",,,"넘어짐 감지, 주변광센서, GPS, SOS안심서비스, 항상화면켜짐, 화면테마설정, 앱설치, 자이로센서, 가속계센서, 나침반센서, 기압센서, 음악 스트리밍",생활방수(최대50m),,최대18시간,,,배터리일체형,,,,,,,,,,,,,,,,,
191830,스마트워치,밴드교체형,"1.22""",390x390,AM-OLED,터치스크린,블루투스5.1,"안드로이드4.4이상, iOS9.0이상",,4G내장,,,"문자, 전화",,,"이동거리측정, 달리기, 수영모니터링, 심박측정, 칼로리측정, 운동정보기록, 수면패턴분석, 만보계",,,"심박센서, GPS, 자이로센서, 가속계센서, 나침반센서, 기압센서, 알람설정",음악플레이어,방수(5ATM),14일,,,배터리일체형,215mAh,스테인리스스틸,29,,,,,,,,,,,
519680,스마트워치,밴드교체형,무선랜(WiFi),324x394,OLED,블루투스5.0,32G내장,,,"여성 건강 모니터링, 이동거리측정, 심박측정, 운동정보기록",,,"넘어짐 감지, 주변광센서, GPS, SOS안심서비스, 항상화면켜짐, 화면테마설정, 앱설치, 자이로센서, 가속계센서, 나침반센서, 기압센서, 음악 스트리밍",생활방수(최대50m),,최대18시간,,,배터리일체형,,,,,,,,,,,,,,,,,,,,
393360,스마트워치,"1.2""",240x240,"문자, 전화",,,"스트레스모니터링, VO2 MAX, 달리기, 사이클링, 수영모니터링, 심박측정, 운동정보기록, 수면패턴분석",,,"GPS, 앱설치",방수(5ATM),,최대7일,,,38.5g,,,,,,,,,,,,,,,,,,,,,,,
257042,스마트워치,"1.2""",AM-OLED,블루투스5.1,,,16M,4G내장,,"문자, 전화",,,"스트레스모니터링, 혈압측정, VO2 MAX, 달리기, 사이클링, 수영모니터링, 심박측정, 수면패턴분석",,,"날짜,요일표시, GPS, 음악재생(저장가능), 내휴대폰찾기, 기압센서, 알람설정",방수(5ATM),,7일,,,스테인리스스틸,29g,,,,,,,,,,,,,,,,
243600,스마트워치,밴드교체형,"1.23""",215x180,LCD,"iOS, 안드로이드","SNS, 문자, 전화",,,"일일활동량측정, 이동거리측정, 심박측정, 칼로리측정, 수면패턴분석, 만보계, 스트레칭알림",,,"심박센서, GPS",음악플레이어,방수(5ATM),배터리일체형,42g,,,,,,,,,,,,,,,,,,,,,,
947600,스마트워치,"1.4""",,32G내장,,,"문자, 전화",,,"스트레스모니터링, VO2 MAX, 이동거리측정, 달리기, 사이클링, 수영모니터링, 심박측정, 운동정보기록, 수면패턴분석, 스키",,,"타이머, GPS, 음악재생(저장가능), 내휴대폰찾기, 고도센서, 기압센서, 알람설정, 속도계, 일출,일몰알림",방수(10ATM),,최대21일+3일,,,,,,,,,,,,,,,,,,,,,,,
579000,스마트워치,밴드교체형,무선랜(WiFi),368x448,OLED,터치스크린,블루투스5.0,,,32G내장,,,"여성 건강 모니터링, 이동거리측정, 심박측정, 운동정보기록",,,"넘어짐 감지, 주변광센서, GPS, SOS안심서비스, 항상화면켜짐, 화면테마설정, 앱설치, 자이로센서, 가속계센서, 나침반센서, 기압센서, 음악 스트리밍",생활방수(최대50m),,최대18시간,,,배터리일체형,,,,,,,,,,,,,,,,,
54360,스마트워치,터치스크린,블루투스4.0,"SNS, 문자",,,"이동거리측정, 달리기, 심박측정, 운동정보기록, 수면패턴분석, 만보계, 스트레칭알림",,,"심박센서, GPS, 나침반센서, 기압센서",생활방수(IP68),,,,,,,,,,,,,,,,,,,,,,,,,,,,
263200,스마트워치,밴드교체형,무선랜(WiFi),"AM-OLED, AOD",터치스크린,블루투스4.0,"일정, 알람, 문자, 전화",,,"여성 건강 모니터링, 호흡가이드, 이동거리측정, 달리기, 사이클링, 수영모니터링, 심박측정, 칼로리측정, 운동정보기록, 수면패턴분석, 만보계",,,"주변광센서, GPS, 화면테마설정, 음성-텍스트변환, NFC, 고도센서, 진동경보, 음악 스트리밍",방수(최대50m),,5일,,,배터리일체형,,,,,,,,,,,,,,,,,,,,
203670,스마트워치,LTE,"1.4""",360x360,슈퍼AM-OLED,터치스크린,블루투스5.0,타이젠,"안드로이드5.0, iOS5.0이상",1.5G,4G내장,,"스트레스모니터링, 달리기, 사이클링, 수영모니터링, 수면패턴분석",,,"원격촬영, 음성명령",,,배터리일체형,340mAh,알루미늄,42g,,,,,,,,,,,,,,,,,
424120,스마트워치,밴드교체형,"1.23""",215x180,LCD,,"SNS, 문자, 전화",,,"일일활동량측정, 이동거리측정, 심박측정, 칼로리측정, 수면패턴분석, 만보계, 스트레칭알림",,,"심박센서, GPS",음악플레이어,방수(5ATM),배터리일체형,38.5g,,,,,,,,,,,,,,,,,,,,,,
359690,스마트워치,무선랜(WiFi),360x360,슈퍼AM-OLED,터치스크린,블루투스5.0,"안드로이드5.0, iOS9.0이상",,,"1.15GHz, 듀얼코어",4G내장,,"문자, 전화",,,"스트레스모니터링, 달리기, 사이클링, 수영모니터링, 심박측정, 칼로리측정, 운동정보기록, 수면패턴분석, 골프",,,"GPS, 항상화면켜짐, 화면테마설정, NFC, 무선충전, 원격촬영(iOS미지원), 스마트 캐디앱",생활방수(IP68),,"평균 43시간,최대 95시간",,,247mAh,26g,,,,,,,,,,,,,
559400,스마트워치,밴드교체형,,"문자, 전화",,,"이동거리측정, 달리기, 사이클링, 수영모니터링, 심박측정, 칼로리측정, 수면패턴분석, 만보계",,,"심박센서, 폭풍알람, GPS, 날씨, 기압센서, 일출,일몰알림",방수(최대100m),,,,,,,,,,,,,,,,,,,,,,,,,,,,
700000,스마트워치,밴드교체형,무선랜(WiFi),368x448,OLED,터치스크린,블루투스5.0,,,32G내장,,,"여성 건강 모니터링, 이동거리측정, 심박측정, 운동정보기록",,,"넘어짐 감지, 주변광센서, GPS, SOS안심서비스, 항상화면켜짐, 화면테마설정, 앱설치, 자이로센서, 가속계센서, 나침반센서, 기압센서, 음악 스트리밍",생활방수(최대50m),,최대18시간,,,배터리일체형,,,,,,,,,,,,,,,,,
256410,스마트워치,밴드교체형,무선랜(WiFi),전화통화,블루투스,iOS,듀얼코어,8G내장,,"일정, 문자, 전화",,,"스트레스모니터링, 일일활동량측정, 이동거리측정, 달리기, 심박측정, 칼로리측정, 운동정보기록, 운동코칭",,,"심박센서, GPS, SOS안심서비스, 고도센서, 기압센서",방수(최대50m),,18시간,,,배터리일체형,,,,,,,,,,,,,,,,,
664050,스마트워치,,,"사이클링, 심박측정",,,"음성명령(오케이구글), 앱설치(구글플레이)",음악플레이어,방수(최대50m),스테인리스스틸,70g,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234990,스마트워치,밴드교체형,무선랜(WiFi),"AM-OLED, AOD",터치스크린,블루투스4.0,"일정, 알람, 문자, 전화",,,"여성 건강 모니터링, 호흡가이드, 이동거리측정, 달리기, 사이클링, 수영모니터링, 심박측정, 칼로리측정, 운동정보기록, 수면패턴분석, 만보계",,,"주변광센서, GPS, 화면테마설정, 음성-텍스트변환, NFC, 고도센서, 진동경보, 음악 스트리밍",방수(최대50m),,5일,,,배터리일체형,,,,,,,,,,,,,,,,,,,,
669000,스마트워치,240x240,AM-OLED,문자,,,"VO2 MAX, 달리기, 사이클링, 수영모니터링, 심박측정",,,"타이머, GPS, 내휴대폰찾기, 날씨, 스톱워치, 가속계센서, 고도센서, 기압센서",방수(5ATM),,최대5일,,,스테인리스스틸,44.5g,,,,,,,,,,,,,,,,,,,,,,
427200,스마트워치,밴드교체형,무선랜(WiFi),"1.2""",240x240,블루투스,"iOS, 안드로이드",,,64MB내장,,,"SNS, 문자, 전화",,,"달리기, 사이클링, 수영모니터링, 심박측정, 칼로리측정, 만보계, 스키",,,"심박센서, GPS, 내휴대폰찾기, 고도센서, 기압센서, 알람설정",음악플레이어,,약2주,,,"블랙그레이, 포스옐로우",22mm,,,,,,,,,,,,,
259300,스마트워치,218x218,,"문자, 전화",,,"스트레스모니터링, VO2 MAX, 심박측정, 칼로리측정, 수면패턴분석",,,"날짜,요일표시, GPS, 날씨, 스톱워치, 앱설치, 고도센서, 알람설정",방수(최대50m),,14일,,,스테인리스스틸,66g,,,,,,,,,,,,,,,,,,,,,,
367000,스마트워치,밴드교체형,LTE,무선랜(WiFi),블루투스4.2,iOS,16G내장,,,"e메일, 문자, 전화",,,"호흡가이드, 일일활동량측정, 이동거리측정, 수영모니터링, 심박측정, 운동정보기록, 운동코칭, 만보계",,,"심박센서, GPS, 음성명령(Siri), 자이로센서, 가속계센서, 기압센서, 음악 스트리밍",방수(최대50m),,18시간,,,배터리일체형,알루미늄,,,,,,,,,,,,,,,,
239650,스마트워치,터치스크린,블루투스4.0BLE,"아이폰4s이상, 안드로이드4.3이상",,,"스트레스모니터링, 체력연령측정, VO2 MAX, 이동거리측정, 사이클링, 수영모니터링, 심박측정, 수면패턴분석, 만보계",,,심박센서,생활방수,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30958,스마트워치,"1.22""",240x240,터치스크린,,,"SNS, 문자, 전화",,,"혈압측정, 혈중산소농도, 이동거리측정, 사이클링, 트랙킹, 심박측정, 칼로리측정, 수면패턴분석, 만보계",,,"타이머, 내휴대폰찾기, 원격촬영, 분실방지, 날씨, 스톱워치, 화면테마설정, 알람설정, 음악 스트리밍",생활방수(IP68),,배터리일체형,320mAh,,,,,,,,,,,,,,,,,,,,,,
149500,스마트워치,밴드교체형,LTE,무선랜(WiFi),"1.2""",360x360,슈퍼AM-OLED,터치스크린,블루투스4.2,타이젠,,,"1.15GHz, 듀얼코어",1.5G,4G내장,"스트레스모니터링, 호흡가이드, 달리기, 수영모니터링, 심박측정, 운동정보기록, 수면패턴분석",,,"심박센서, GPS, 날씨, 일정관리, 자이로센서, NFC, 고도센서, 기압센서, 속도계","생활방수(IP68), 방수(5ATM)",,"평균 45시간,최대 120시간",9시간,,배터리일체형,270mAh,"미드나잇블랙, 로즈골드",49g,,,,,,,,,,,
